Unnamed: 0,serviceCharge,heatingType,newlyConst,balcony,telekomUploadSpeed,totalRent,yearConstructed,scoutId,hasKitchen,cellar,baseRent,livingSpace,condition,petsAllowed,lift,typeOfFlat,noRooms,floorNo,numberOfFloors,garden,regio3,heatingCosts,ParkSpaces,fullAddress,price_category
3981,304.35,central_heating,1,0,32.1,1385.07,2018.0,111318174,0,0,1017.12,63.57,first_time_use,2,0,apartment,2.0,0.0,3.0,0,Prenzlauer_Berg_Prenzlauer_Berg,63.6,0,"Lichtburgring 14, 13355 Berlin, Germany",below_average
3982,315.4,central_heating,0,1,40.0,1383.0,1996.0,107302326,1,1,1067.6,105.0,modernized,3,1,apartment,4.0,3.0,3.0,0,Rudow_Neukölln,140.5,0,"Hiltrud-Dudek-Weg 38, 12355 Berlin, Germany",below_average
3983,168.32,floor_heating,0,1,32.1,2452.12,2018.0,110851873,1,1,2199.64,87.6,first_time_use,3,1,apartment,4.0,6.0,7.0,0,Mitte_Mitte,84.2,1,"Zimmerstraße 92, 10969 Berlin, Germany",above_average
3984,219.0,central_heating,0,1,10.0,888.0,1992.0,107327351,1,1,669.0,66.68,well_kept,2,1,apartment,2.0,4.0,2.0,0,Reinickendorf_Reinickendorf,55.0,0,"Antonienstraße 48, 13403 Berlin, Germany",below_average
3985,250.0,central_heating,0,0,40.0,1500.0,1980.0,95713989,1,1,1250.0,73.0,first_time_use,2,0,apartment,3.0,1.0,4.0,0,Wilmersdorf_Wilmersdorf,105.4,0,"Uhlandstraße 144, 10719 Berlin, Germany",above_average
3986,150.0,floor_heating,1,1,40.0,1301.4,2018.0,113763909,1,1,1046.4,65.0,first_time_use,3,1,apartment,2.0,3.0,5.0,0,Neukölln_Neukölln,105.0,1,"Delbrückstraße 43, 12051 Berlin, Germany",below_average
3987,50.0,central_heating,0,0,10.0,600.0,1903.0,111259848,1,1,500.0,34.0,fully_renovated,2,0,other,1.0,1.0,2.0,0,Französisch_Buchholz_Pankow,50.0,1,"Berliner Straße 8, 13127 Berlin, Germany",below_average
3988,107.0,central_heating,0,1,2.4,849.0,1930.0,111207779,0,0,667.0,74.05,well_kept,2,0,apartment,3.0,2.0,4.0,0,Siemensstadt_Spandau,75.0,0,"Schuckertplatz 8, 13629 Berlin, Germany",below_average
3989,195.26,central_heating,0,0,10.0,2154.32,2017.0,112286446,1,1,1796.35,129.3,first_time_use,2,1,apartment,3.5,0.0,7.0,0,Prenzlauer_Berg_Prenzlauer_Berg,162.7,0,"Prenzlauer Allee  44, 10405 Berlin, Germany",above_average
3990,120.0,district_heating,0,1,40.0,1150.0,1975.0,115121899,1,1,955.0,55.9,first_time_use,2,1,apartment,2.0,3.0,7.0,0,Tiergarten_Tiergarten,75.0,0,"Spenerstraße 38, 10557 Berlin, Germany",below_average
