Unnamed_0,serviceCharge,heatingType,newlyConst,balcony,telekomUploadSpeed,totalRent,yearConstructed,scoutId,hasKitchen,cellar,baseRent,livingSpace,condition,petsAllowed,lift,typeOfFlat,noRooms,floorNo,numberOfFloors,garden,regio3,heatingCosts,ParkSpaces,fullAddress,bezirk,bezirk_group,flat_group,condition_group
5250,319,central_heating,1,1,40,1986,2020,115202388,0,0,1667,115,first_time_use,2,1,apartment,3,0,4,1,Pankow_Pankow,105.4,1,"Damerowstr. 58, 13187 Berlin, Germany",Pankow,North,Apartment,New
8277,250,district_heating,1,0,32.1,1500,2020,115494108,1,1,1250,80.33,first_time_use,2,1,other,2,1,7,1,Mitte_Mitte,70.3,0,"Wallstrasse 18, 10179 Berlin, Germany",Mitte,Central,Apartment,New
126,250,district_heating,1,1,32.1,1845,2020,115708592,1,1,1595,82.75,mint_condition,2,1,apartment,3,1,7,0,Mitte_Mitte,105.4,0,"Wallstraße 18, 10179 Berlin, Germany",Mitte,Central,Apartment,Well-maintained
153,290,district_heating,1,1,32.1,2080,2020,101194468,1,1,1790,107.89,first_time_use,2,1,apartment,4,2,7,0,Mitte_Mitte,140.5,1,"Wallstraße 18, 10179 Berlin, Germany",Mitte,Central,Apartment,New
2754,190,district_heating,1,1,32.1,1465,2020,115708639,1,1,1275,63.7,first_time_use,2,1,apartment,2,5,7,0,Mitte_Mitte,70.3,0,"Wallstraße 18, 10179 Berlin, Germany",Mitte,Central,Apartment,New
8793,200,district_heating,1,1,32.1,1940,2020,98416135,1,1,1690,96,first_time_use,2,1,apartment,3,2,7,0,Mitte_Mitte,105.4,1,"Wallstraße 18, 10179 Berlin, Germany",Mitte,Central,Apartment,New
5520,215,central_heating,1,1,40,1295,2020,115523247,0,0,1080,75,first_time_use,1,1,apartment,2,1,4,0,Lichtenberg_Lichtenberg,70.3,0,"Im Lichtenhain 4, 10317 Berlin, Germany",Lichtenberg,East,Apartment,New
7359,247,central_heating,1,0,32.1,1610,2020,115236269,0,0,1293,96,first_time_use,2,0,apartment,4,1,2,1,Karow_Weißensee,70,0,"Lanker Straße 8, 13125 Berlin, Germany",Weißensee,North,Apartment,New
8598,245,combined_heat_and_power_plant,1,1,40,1620,2020,115388970,1,1,1375,81.13,first_time_use,3,1,roof_storey,2,4,4,1,Karlshorst_Lichtenberg,70.3,1,"Rienzistraße 14, 10318 Berlin, Germany",Lichtenberg,East,Roof Storey,New
8388,300,central_heating,1,1,32.1,1840.5,2020,115578897,0,0,1400,91.92,first_time_use,2,0,roof_storey,4,4,4,0,Steglitz_Steglitz,140.5,0,"Zimmermannstr. 32, 12163 Berlin, Germany",Steglitz,West,Roof Storey,New
259,150,gas_heating,1,1,32.1,1300,2020,113851872,0,0,1150,93.7,first_time_use,2,0,ground_floor,2,1,3,1,Mahlsdorf_Hellersdorf,70.3,1,"Pfarrhufenanger 20, 12623 Berlin, Germany",Hellersdorf,East,Ground Floor,New
3269,120,gas_heating,1,1,32.1,1040,2020,113526549,0,0,920,74.25,first_time_use,2,0,terraced_flat,2,1,3,1,Mahlsdorf_Hellersdorf,70.3,1,"Pfarrhufenanger 20, 12623 Berlin, Germany",Hellersdorf,East,Apartment,New
7573,200,gas_heating,1,1,32.1,1775,2020,113400316,0,0,1575,124.25,first_time_use,2,0,apartment,4,3,3,0,Mahlsdorf_Hellersdorf,140.5,1,"Pfarrhufenanger 20, 12623 Berlin, Germany",Hellersdorf,East,Apartment,New
